Package,LibPath,Version,Priority,Depends,Imports,NeedsCompilation,Built,where_at,source
abind,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.4-5,NA,R (>= 1.5.0),"methods, utils",no,4.1.0,CRAN,NA
acepack,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.4.1,NA,NA,NA,yes,4.1.0,CRAN,NA
AlignAssign,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.5.0,NA,NA,rstudioapi,no,4.1.0,seasmith/AlignAssign,GitHub
almanac,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.1,NA,R (>= 3.2),"glue, lubridate, magrittr, R6, rlang, V8 (>= 3.0.1), vctrs (>=
0.3.0)",yes,4.1.0,CRAN,NA
alphavantager,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.2,NA,R (>= 3.3.0),"dplyr (>= 0.7.0), glue (>= 1.1.1), httr (>= 1.2.1), jsonlite
(>= 1.5), purrr (>= 0.2.2.2), readr (>= 1.1.1), stringr (>=
1.2.0), tibble (>= 1.3.3), tidyr (>= 0.6.3), timetk (>=
0.1.1.1)",no,4.1.0,CRAN,NA
altair,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,4.1.1,NA,NA,"reticulate (>= 1.9), htmlwidgets, assertthat, magrittr, utils,
vegawidget (>= 0.3.2), repr",no,4.1.0,CRAN,NA
anytime,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.3.9,NA,R (>= 3.2.0),Rcpp (>= 0.12.9),yes,4.1.0,CRAN,NA
apexcharter,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.0,NA,R (>= 2.10),"htmltools, htmlwidgets, magrittr, rlang, ggplot2, jsonlite,
shiny (>= 1.1.0)",no,4.1.0,CRAN,NA
appa,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.0.0.9000,NA,R (>= 2.10),NA,no,4.1.0,averyrobbins1/appa,GitHub
arrow,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,5.0.0.20210912,NA,R (>= 3.3),"assertthat, bit64 (>= 0.9-7), methods, purrr, R6, rlang,
stats, tidyselect, utils, vctrs",yes,4.1.1,Other,NA
arules,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.6-7,NA,"R (>= 3.4.0), Matrix (>= 1.2-0)","stats, methods, graphics, utils",yes,4.1.0,CRAN,NA
ash,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0-15,NA,NA,NA,yes,4.1.0,CRAN,NA
AsioHeaders,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.16.1-1,NA,NA,NA,no,4.1.0,CRAN,NA
askpass,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.1,NA,NA,sys (>= 2.1),yes,4.1.0,CRAN,NA
assertthat,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.1,NA,NA,tools,no,4.1.0,CRAN,NA
audio,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1-7,NA,R (>= 2.0.0),NA,yes,4.1.0,CRAN,NA
available,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0.4,NA,R (>= 3.3.0),"cli, clisymbols, crayon, tidytext, desc, glue, jsonlite,
memoise, SnowballC, stringdist, tibble, udapi, yesno",no,4.1.0,CRAN,NA
